Keyword,Category
"Regulatory approval",Legal & Regulatory
"Regulatory rejection",Legal & Regulatory
"Regulatory scrutiny",Legal & Regulatory
"SEC investigation",Legal & Regulatory
"Settlement",Legal & Regulatory
"Subpoena",Legal & Regulatory
"Sue",Legal & Regulatory
"Warning letter",Legal & Regulatory
"Whistleblower",Legal & Regulatory
"Consumer confidence",Macroeconomic & Geopolitical
"Coup",Macroeconomic & Geopolitical
"Deflation",Macroeconomic & Geopolitical
"Demand shock",Macroeconomic & Geopolitical
"Embargo",Macroeconomic & Geopolitical
"Fed cut",Macroeconomic & Geopolitical
"Fed hike",Macroeconomic & Geopolitical
"Fiscal policy",Macroeconomic & Geopolitical
"GDP contraction",Macroeconomic & Geopolitical
"Geopolitical tension",Macroeconomic & Geopolitical
"Inflation",Macroeconomic & Geopolitical
"Interest rates",Macroeconomic & Geopolitical
"Monetary policy",Macroeconomic & Geopolitical
"Nationalization",Macroeconomic & Geopolitical
"Oil price shock",Macroeconomic & Geopolitical
"Political instability",Macroeconomic & Geopolitical
"Quantitative easing (QE)",Macroeconomic & Geopolitical
"Quantitative tightening (QT)",Macroeconomic & Geopolitical
"Recession",Macroeconomic & Geopolitical
"Sanctions",Macroeconomic & Geopolitical
"Stagflation",Macroeconomic & Geopolitical
"Supply shock",Macroeconomic & Geopolitical
"Tariff",Macroeconomic & Geopolitical
"Trade deficit",Macroeconomic & Geopolitical
"Trade war",Macroeconomic & Geopolitical
"Unemployment",Macroeconomic & Geopolitical
"War",Macroeconomic & Geopolitical
"Activist investor",Management & Governance
"Board shakeup",Management & Governance
"CEO resigns",Management & Governance
"CEO steps down",Management & Governance
"CFO resigns",Management & Governance
"COO resigns",Management & Governance
"Corporate governance",Management & Governance
"Executive compensation",Management & Governance
"Golden parachute",Management & Governance
"Insider trading",Management & Governance
"Layoffs",Management & Governance
"New CEO",Management & Governance
"Proxy fight",Management & Governance
"Restructuring",Management & Governance
"Scandal",Management & Governance
"Shareholder activism",Management & Governance
"Succession plan",Management & Governance
"Analyst day",Market Sentiment & Analyst Actions
"Bear market",Market Sentiment & Analyst Actions
"Bubble",Market Sentiment & Analyst Actions
"Bull market",Market Sentiment & Analyst Actions
"Buy rating",Market Sentiment & Analyst Actions
"Correction",Market Sentiment & Analyst Actions
"Crash",Market Sentiment & Analyst Actions
"Downgrade",Market Sentiment & Analyst Actions
"Hedge fund",Market Sentiment & Analyst Actions
"Hold rating",Market Sentiment & Analyst Actions
"Market manipulation",Market Sentiment & Analyst Actions
"Overweight",Market Sentiment & Analyst Actions
"Ponzi scheme",Market Sentiment & Analyst Actions
"Price target",Market Sentiment & Analyst Actions
"Sell rating",Market Sentiment & Analyst Actions
"Short seller report",Market Sentiment & Analyst Actions
"Short squeeze",Market Sentiment & Analyst Actions
"Underweight",Market Sentiment & Analyst Actions
"Upgrade",Market Sentiment & Analyst Actions
"Volatility",Market Sentiment & Analyst Actions
"Whisper number",Market Sentiment & Analyst Actions
"Backlog",Product & Operations
"Breakthrough",Product & Operations
"Capacity expansion",Product & Operations
"Discovery",Product & Operations
"Explosion",Product & Operations
"Factory shutdown",Product & Operations
"Force majeure",Product & Operations
"Key supplier",Product & Operations
"Labor dispute",Product & Operations
"Launch",Product & Operations
"Major contract",Product & Operations
"New patent",Product & Operations
"Operational efficiency",Product & Operations
"Outage",Product & Operations
"Patent expired",Product & Operations
"Patent granted",Product & Operations
"Product pipeline",Product & Operations
"Product recall",Product & Operations
"Production halt",Product & Operations
"Safety concern",Product & Operations
"Strike",Product & Operations
"Supply chain disruption",Product & Operations
"AI breakthrough",Technology & Security
"Cloud migration",Technology & Security
"Cyberattack",Technology & Security
"Data breach",Technology & Security
"Denial-of-service attack",Technology & Security
"Disruptive innovation",Technology & Security
"Hack",Technology & Security
"Intellectual property theft",Technology & Security
"Ransomware",Technology & Security
"Technological obsolescence",Technology & Security
